date,volume,open,close,high,low,symbol
2020-07-02,1524822.0,88.83,88.68,89.49,88.55,A
2020-07-06,1450264.0,89.02,89.31,90.64,89.02,A
2020-07-07,1452776.0,88.84,89.21,90.04,88.6704,A
2020-07-08,1084837.0,89.52,89.54,90.33,89.13,A
2020-07-09,1153918.0,89.65,89.92,90.4,88.56,A
2020-07-10,948715.0,89.85,89.42,89.87,88.57,A
2020-07-13,1656373.0,89.97,89.26,91.24,88.65,A
2020-07-14,1375477.0,88.83,90.69,90.79,88.07,A
2020-07-15,1914521.0,91.74,92.88,93.06,91.08,A
2020-07-16,1239292.0,92.98,92.86,93.21,92.06,A
2020-07-17,3534467.0,93.41,94.37,94.51,92.69,A
2020-07-20,1255469.0,94.91,95.21,96.22,94.76,A
2020-07-21,2190070.0,95.57,96.02,96.45,95.16,A
2020-07-22,1327473.0,96.36,96.35,96.88,95.81,A
2020-07-23,1394877.0,96.59,96.66,98.09,96.315,A
2020-07-24,1157906.0,95.98,94.81,96.22,93.87,A
2020-07-27,1192377.0,94.96,97.27,97.54,94.9,A
2020-07-28,1380702.0,96.98,95.3,97.25,95.2,A
2020-07-29,1137912.0,95.81,97.1,97.66,95.52,A
2020-07-30,1675399.0,96.12,95.93,96.36,94.97,A
2020-07-31,1565874.0,95.94,96.33,96.41,94.725,A
2020-08-03,2010425.0,96.94,99.09,99.36,96.94,A
2020-08-04,797281.0,98.71,97.53,98.985,96.89,A
2020-08-05,967397.0,98.09,97.89,98.83,97.7,A
2020-08-06,1082629.0,97.72,97.45,98.25,95.81,A
2020-08-07,905212.0,97.07,97.78,97.84,96.87,A
2020-08-10,910844.0,97.84,97.14,97.96,96.95,A
2020-08-11,1145198.0,97.22,96.3,97.63,96.2,A
2020-08-12,1328238.0,96.66,97.63,98.28,96.52,A
2020-08-13,1204702.0,97.55,98.77,99.12,97.175,A
2020-08-14,965039.0,98.45,97.37,98.83,96.9,A
2020-08-17,2004707.0,97.67,97.51,98.68,97.09,A
2020-08-18,2018699.0,97.71,97.86,98.71,97.11,A
2020-08-19,2856458.0,95.23,97.96,99.4025,94.5252,A
2020-08-20,1443251.0,97.39,97.78,98.17,97.115,A
2020-08-21,1325506.0,97.87,98.3,98.32,97.27,A
2020-08-24,1169725.0,98.78,97.6,99.21,97.14,A
2020-08-25,1075231.0,97.87,98.34,98.66,97.56,A
2020-08-26,1088462.0,98.18,99.33,99.73,98.05,A
2020-08-27,1252960.0,99.19,99.02,99.66,97.56,A
2020-08-28,880662.0,99.0,99.9,99.93,98.54,A
2020-08-31,1088950.0,99.9,100.42,101.04,99.75,A
2020-09-01,1181785.0,100.92,101.12,101.29,100.25,A
2020-09-02,1481298.0,101.0,103.42,103.66,100.46,A
2020-09-03,2008190.0,103.09,99.64,103.205,99.04,A
2020-09-04,1771795.0,100.07,96.84,100.11,95.66,A
2020-09-08,1249498.0,96.11,95.14,96.47,94.76,A
2020-09-09,968583.0,96.1,97.93,98.47,95.86,A
2020-09-10,1948227.0,98.88,98.57,100.1,98.24,A
2020-09-11,1388375.0,98.71,98.6,99.62,98.02,A
2020-09-14,1229489.0,99.73,99.42,100.23,98.97,A
2020-09-15,1068297.0,99.72,100.37,101.0,99.72,A
2020-09-16,1381624.0,101.23,99.92,101.53,98.08,A
2020-09-17,1203893.0,99.25,99.6,100.455,98.58,A
2020-09-18,2390479.0,99.14,99.38,100.59,98.46,A
2020-09-21,938743.0,98.18,98.13,98.56,96.5,A
2020-09-22,858563.0,97.84,98.62,98.975,97.49,A
2020-09-23,1158809.0,98.6,96.91,98.91,96.57,A
2020-09-24,1170940.0,96.57,96.34,96.97,95.44,A
2020-09-25,1042483.0,95.96,97.69,98.135,95.77,A
2020-09-28,1352636.0,98.64,99.51,99.73,98.12,A
2020-09-29,733518.0,99.79,100.22,101.33,99.59,A
2020-09-30,1373259.0,100.54,100.94,101.89,100.31,A
2020-10-01,738826.0,101.77,101.22,102.41,100.54,A
2020-10-02,724701.0,100.21,100.01,101.275,99.8127,A
2020-10-05,815350.0,100.99,103.12,103.46,100.96,A
2020-10-06,1088048.0,103.12,101.63,103.33,101.48,A
2020-10-07,1330998.0,102.47,103.88,104.75,102.42,A
2020-10-08,780375.0,104.2,104.16,104.39,103.13,A
2020-10-09,727862.0,104.83,105.76,106.1,104.55,A
2020-10-12,1016835.0,106.45,105.43,107.0,105.32,A
2020-10-13,930862.0,105.44,105.42,106.005,104.96,A
2020-10-14,914523.0,105.49,105.06,106.67,104.92,A
2020-10-15,736459.0,104.1,105.32,105.72,103.88,A
2020-10-16,1116962.0,105.95,106.7,107.54,105.71,A
2020-10-19,647083.0,106.78,105.49,107.62,105.24,A
2020-10-20,779381.0,105.89,105.61,106.94,105.56,A
2020-10-21,912458.0,105.92,104.83,106.69,104.12,A
2020-10-22,1074498.0,105.32,106.77,107.09,105.11,A
2020-10-23,842794.0,107.23,106.17,107.38,105.47,A
