date,volume,open,close,high,low,symbol
2020-09-09,17526,25.1,25.0699,25.119,25.0699,AAA
2020-09-10,23632,25.06,25.068,25.07,25.046,AAA
2020-09-11,33786,25.04,25.035,25.05,25.02,AAA
2020-09-14,13347,25.01,25.02,25.06,25.01,AAA
2020-09-15,12395,25.02,25.01,25.03,25.01,AAA
2020-09-16,14920,24.97,24.97,24.9839,24.97,AAA
2020-09-17,15275,24.99,24.98,25.0,24.98,AAA
2020-09-18,5340,24.9729,24.975,24.98,24.97,AAA
2020-09-21,8756,24.99,24.98,24.99,24.98,AAA
2020-09-22,8267,24.98,24.975,24.99,24.975,AAA
2020-09-23,4644,24.985,24.99,24.997,24.985,AAA
2020-09-24,7080,24.99,24.98,24.9909,24.98,AAA
2020-09-25,115566,24.985,24.98,25.0,24.97,AAA
2020-09-28,6303,24.96,24.955,24.97,24.955,AAA
2020-09-29,8023,24.94,24.945,24.95,24.93,AAA
2020-09-30,5552,24.96,24.96,24.97,24.96,AAA
2020-10-01,24857,24.93,24.92,24.93,24.9175,AAA
2020-10-02,2995,24.9127,24.915,24.925,24.9127,AAA
2020-10-05,29105,24.91,24.915,24.94,24.91,AAA
2020-10-06,4037,24.89,24.9095,24.91,24.89,AAA
2020-10-07,3875,24.9017,24.9,24.91,24.9,AAA
2020-10-08,1697,24.9,24.9,24.905,24.9,AAA
2020-10-09,16339,24.88,24.895,24.91,24.88,AAA
2020-10-12,638,24.895,24.895,24.895,24.895,AAA
2020-10-13,364,24.92,24.91,24.92,24.91,AAA
2020-10-14,311,24.92,24.91,24.92,24.91,AAA
2020-10-15,2160,24.91,24.91,24.92,24.9,AAA
2020-10-16,609,24.906,24.91,24.91,24.9,AAA
2020-10-19,6907,24.9,24.905,24.91,24.9,AAA
2020-10-20,16917,24.9098,24.91,24.92,24.9,AAA
2020-10-21,2717,24.95,24.95,24.955,24.95,AAA
2020-10-22,2063,24.94,24.935,24.94,24.935,AAA
2020-10-23,495,24.955,24.955,24.955,24.955,AAA
