date,volume,open,close,high,low,symbol
2020-07-02,266311.0,17.64,17.71,17.735,17.62,AAAU
2020-07-06,263978.0,17.81,17.81,17.82,17.74,AAAU
2020-07-07,333067.0,17.76,17.93,17.93,17.76,AAAU
2020-07-08,464020.0,18.07,18.05,18.1299,18.015,AAAU
2020-07-09,648078.0,18.09,17.99,18.0965,17.91,AAAU
2020-07-10,355300.0,18.04,17.95,18.0599,17.89,AAAU
2020-07-13,335601.0,18.07,17.97,18.0758,17.95,AAAU
2020-07-14,334656.0,17.93,18.05,18.07,17.91,AAAU
2020-07-15,162232.0,18.0,18.07,18.0799,17.973,AAAU
2020-07-16,512401.0,18.01,17.9,18.0299,17.89,AAAU
2020-07-17,203918.0,18.01,18.05,18.06,18.0,AAAU
2020-07-20,377829.0,18.12,18.13,18.145,18.06,AAAU
2020-07-21,408354.0,18.31,18.36,18.38,18.28,AAAU
2020-07-22,511497.0,18.47,18.64,18.645,18.435,AAAU
2020-07-23,951678.0,18.7,18.82,18.9376,18.65,AAAU
2020-07-24,715189.0,19.03,18.98,19.03,18.92,AAAU
2020-07-27,1164218.0,19.32,19.34,19.4,19.26,AAAU
2020-07-28,540528.0,19.34,19.53,19.55,19.27,AAAU
2020-07-29,707263.0,19.57,19.64,19.745,19.37,AAAU
2020-07-30,659761.0,19.47,19.5,19.555,19.31,AAAU
2020-07-31,513124.0,19.58,19.69,19.705,19.53,AAAU
2020-08-03,671007.0,19.64,19.7,19.71,19.54,AAAU
2020-08-04,442685.0,19.72,20.11,20.12,19.66,AAAU
2020-08-05,644146.0,20.32,20.3,20.48,20.22,AAAU
2020-08-06,905686.0,20.53,20.57,20.625,20.43,AAAU
2020-08-07,1030766.0,20.46,20.25,20.47,20.09,AAAU
2020-08-10,832027.0,20.38,20.19,20.43,20.13,AAAU
2020-08-11,1744520.0,19.44,19.08,19.52,19.04,AAAU
2020-08-12,602223.0,19.36,19.03,19.42,19.0099,AAAU
2020-08-13,614485.0,19.25,19.47,19.6,19.25,AAAU
2020-08-14,346372.0,19.47,19.36,19.49,19.26,AAAU
2020-08-17,761378.0,19.61,19.77,19.83,19.58,AAAU
2020-08-18,551621.0,20.07,19.97,20.1,19.71,AAAU
2020-08-19,769743.0,19.85,19.34,19.88,19.272,AAAU
2020-08-20,303922.0,19.23,19.46,19.49,19.2,AAAU
2020-08-21,253227.0,19.33,19.32,19.38,19.15,AAAU
2020-08-24,317112.0,19.41,19.2,19.41,19.17,AAAU
2020-08-25,240740.0,19.21,19.22,19.23,19.08,AAAU
2020-08-26,643062.0,19.13,19.46,19.48,19.12,AAAU
2020-08-27,1190307.0,19.65,19.23,19.65,19.0308,AAAU
2020-08-28,576930.0,19.51,19.57,19.66,19.4646,AAAU
2020-08-31,717009.0,19.61,19.61,19.675,19.56,AAAU
2020-09-01,985749.0,19.85,19.64,19.85,19.56,AAAU
2020-09-02,797842.0,19.51,19.38,19.51,19.27,AAAU
2020-09-03,1525248.0,19.32,19.23,19.39,19.15,AAAU
2020-09-04,936904.0,19.21,19.27,19.31,19.11,AAAU
2020-09-08,1431158.0,19.04,19.25,19.33,18.998,AAAU
2020-09-09,460367.0,19.37,19.42,19.44,19.3301,AAAU
2020-09-10,546187.0,19.54,19.36,19.58,19.34,AAAU
2020-09-11,371138.0,19.44,19.36,19.47,19.315,AAAU
2020-09-14,703925.0,19.48,19.51,19.54,19.46,AAAU
2020-09-15,349033.0,19.57,19.46,19.59,19.405,AAAU
2020-09-16,596110.0,19.63,19.51,19.63,19.455,AAAU
2020-09-17,687912.0,19.29,19.42,19.42,19.26,AAAU
2020-09-18,325743.0,19.43,19.44,19.52,19.38,AAAU
2020-09-21,1138249.0,19.09,19.05,19.1284,18.76,AAAU
2020-09-22,529512.0,19.05,18.96,19.095,18.89,AAAU
2020-09-23,1567875.0,18.76,18.54,18.8,18.48,AAAU
2020-09-24,856487.0,18.5,18.62,18.695,18.45,AAAU
2020-09-25,514184.0,18.52,18.57,18.6,18.46,AAAU
2020-09-28,326511.0,18.64,18.75,18.755,18.58,AAAU
2020-09-29,720298.0,18.81,18.9,18.91,18.78,AAAU
2020-09-30,543563.0,18.86,18.8,18.95,18.75,AAAU
2020-10-01,483168.0,18.97,18.97,19.045,18.89,AAAU
2020-10-02,382591.0,18.97,18.95,19.01,18.91,AAAU
2020-10-05,632823.0,19.0,19.04,19.11,18.99,AAAU
2020-10-06,898374.0,19.13,18.81,19.14,18.78,AAAU
2020-10-07,453208.0,18.8,18.8,18.82,18.73,AAAU
2020-10-08,421927.0,18.9,18.87,18.93,18.755,AAAU
2020-10-09,423782.0,19.12,19.22,19.22,19.1,AAAU
2020-10-12,212398.0,19.15,19.17,19.19,19.12,AAAU
2020-10-13,586863.0,18.96,18.86,18.96,18.8,AAAU
2020-10-14,244936.0,19.01,18.9,19.05,18.9,AAAU
2020-10-15,470629.0,18.84,18.99,19.009,18.84,AAAU
2020-10-16,717201.0,19.02,18.93,19.02,18.905,AAAU
2020-10-19,444750.0,19.03,18.93,19.05,18.93,AAAU
2020-10-20,426465.0,18.94,19.02,19.07,18.91,AAAU
2020-10-21,360538.0,19.14,19.17,19.24,19.13,AAAU
2020-10-22,561228.0,19.0,18.98,19.0,18.88,AAAU
2020-10-23,276198.0,19.0,18.97,19.01,18.87,AAAU
