date,volume,open,close,high,low,symbol
2020-07-02,46757,1.3,1.31,1.385,1.3,AACG
2020-07-06,49211,1.3,1.36,1.4,1.3,AACG
2020-07-07,48089,1.36,1.37,1.419,1.35,AACG
2020-07-08,57239,1.37,1.48,1.49,1.3501,AACG
2020-07-09,67206,1.5,1.49,1.5,1.45,AACG
2020-07-10,179762,1.49,1.44,1.6,1.43,AACG
2020-07-13,84517,1.48,1.46,1.54,1.39,AACG
2020-07-14,85469,1.54,1.58,1.5899,1.48,AACG
2020-07-15,25142,1.59,1.5201,1.59,1.5201,AACG
2020-07-16,848458,1.52,1.7,1.87,1.52,AACG
2020-07-17,70188,1.76,1.71,1.76,1.5902,AACG
2020-07-20,111848,1.7,1.38,1.7,1.3102,AACG
2020-07-21,43898,1.34,1.31,1.36,1.31,AACG
2020-07-22,38139,1.29,1.29,1.35,1.17,AACG
2020-07-23,19043,1.2,1.25,1.39,1.2,AACG
2020-07-24,28300,1.238,1.1639,1.238,1.08,AACG
2020-07-27,13834,1.17,1.14,1.2559,1.13,AACG
2020-07-28,8653,1.11,1.12,1.1799,1.1004,AACG
2020-07-29,69784,1.14,1.065,1.14,1.04,AACG
2020-07-30,46252,1.02,1.05,1.11,1.01,AACG
2020-07-31,26829,1.06,1.06,1.0899,1.01,AACG
2020-08-03,387600,1.12,1.365,1.4,1.02,AACG
2020-08-04,82279,1.39,1.275,1.39,1.2054,AACG
2020-08-05,36347,1.24,1.3,1.33,1.2301,AACG
2020-08-06,34534,1.26,1.2652,1.31,1.24,AACG
2020-08-07,17855,1.27,1.2612,1.28,1.2,AACG
2020-08-10,18360,1.25,1.21,1.27,1.21,AACG
2020-08-11,34183,1.16,1.15,1.2799,1.15,AACG
2020-08-12,50561,1.24,1.1,1.24,1.05,AACG
2020-08-13,33512,1.07,1.1,1.22,1.07,AACG
2020-08-14,54637,1.19,1.0999,1.19,1.05,AACG
2020-08-17,18501,1.09,1.14,1.16,1.0851,AACG
2020-08-18,176231,1.16,1.1899,1.27,1.1193,AACG
2020-08-19,50989,1.2,1.1,1.21,1.1,AACG
2020-08-20,17291,1.06,1.1355,1.1355,1.06,AACG
2020-08-21,22318,1.2,1.125,1.2,1.0901,AACG
2020-08-24,27589,1.1,1.08,1.17,1.08,AACG
2020-08-25,3853,1.0901,1.09,1.13,1.09,AACG
2020-08-26,19799,1.08,1.1,1.1099,1.075,AACG
2020-08-27,13571,1.075,1.06,1.0947,1.06,AACG
2020-08-28,250412,1.11,1.2,1.2738,1.11,AACG
2020-08-31,22193,1.2,1.12,1.2,1.11,AACG
2020-09-01,43516,1.16,1.17,1.18,1.1,AACG
2020-09-02,17240,1.1204,1.13,1.18,1.12,AACG
2020-09-03,32074,1.132,1.11,1.15,1.06,AACG
2020-09-04,27247,1.09,1.1,1.11,1.068,AACG
2020-09-08,17481,1.09,1.14,1.14,1.07,AACG
2020-09-09,9963,1.11,1.09,1.14,1.07,AACG
2020-09-10,26856,1.08,1.07,1.09,1.07,AACG
2020-09-11,22739,1.08,1.06,1.09,1.06,AACG
2020-09-14,11490,1.084,1.09,1.09,1.06,AACG
2020-09-15,13679,1.11,1.1,1.1104,1.07,AACG
2020-09-16,7630,1.1,1.12,1.1204,1.08,AACG
2020-09-17,6684,1.09,1.09,1.0999,1.07,AACG
2020-09-18,12246,1.075,1.06,1.08,1.06,AACG
2020-09-21,3862,1.08,1.06,1.08,1.06,AACG
2020-09-22,8644,1.07,1.07,1.1196,1.061,AACG
2020-09-23,4587,1.085,1.0752,1.085,1.07,AACG
2020-09-24,22408,1.07,1.07,1.09,1.06,AACG
2020-09-25,33995,1.06,1.1,1.11,1.06,AACG
2020-09-28,238983,1.15,1.1501,1.21,1.075,AACG
2020-09-29,78815,1.13,1.1283,1.17,1.09,AACG
2020-09-30,18678,1.1182,1.105,1.1345,1.09,AACG
2020-10-01,4725,1.11,1.13,1.13,1.11,AACG
2020-10-02,17237,1.1,1.1,1.14,1.09,AACG
2020-10-05,11109,1.1,1.11,1.13,1.09,AACG
2020-10-06,1777,1.13,1.11,1.13,1.11,AACG
2020-10-07,6447,1.115,1.1,1.115,1.095,AACG
2020-10-08,5607,1.09,1.09,1.09,1.07,AACG
2020-10-09,26776,1.0899,1.08,1.09,1.07,AACG
2020-10-12,994439,1.07,1.19,1.43,1.06,AACG
2020-10-13,184798,1.24,1.09,1.29,1.06,AACG
2020-10-14,85680,1.09,1.15,1.17,1.0811,AACG
2020-10-15,59878,1.1,1.166,1.18,1.1,AACG
2020-10-16,174273,1.16,1.1852,1.259,1.14,AACG
2020-10-19,682585,1.22,1.22,1.4,1.14,AACG
2020-10-20,96601,1.24,1.245,1.29,1.24,AACG
2020-10-21,51733,1.28,1.18,1.28,1.18,AACG
2020-10-22,296487,1.19,1.26,1.28,1.17,AACG
2020-10-23,23361,1.25,1.23,1.25,1.2,AACG
