date,volume,open,close,high,low,symbol,splitDeclaredDate,ratio,tofactor,forfactor,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2020-07-02,7600934.0,11.26,10.97,11.68,10.8601,AA,,,,,,1.0,7600934.0,11.26,10.97,11.68,10.8601,83382245.98
2020-07-06,7143230.0,11.35,11.47,11.5748,11.02,AA,,,,,,1.0,7143230.0,11.35,11.47,11.5748,11.02,81932848.10000001
2020-07-07,4646999.0,11.23,11.23,11.64,11.11,AA,,,,,,1.0,4646999.0,11.23,11.23,11.64,11.11,52185798.77
2020-07-08,12443865.0,12.07,11.09,12.12,10.89,AA,,,,,,1.0,12443865.0,12.07,11.09,12.12,10.89,138002462.85
2020-07-09,8144198.0,11.03,10.52,11.0606,10.46,AA,,,,,,1.0,8144198.0,11.03,10.52,11.0606,10.46,85676962.96
2020-07-10,7942480.0,10.49,11.41,11.42,10.4314,AA,,,,,,1.0,7942480.0,10.49,11.41,11.42,10.4314,90623696.8
2020-07-13,7966575.0,11.53,11.51,11.975,11.465,AA,,,,,,1.0,7966575.0,11.53,11.51,11.975,11.465,91695278.25
2020-07-14,11479847.0,11.38,12.61,12.7,11.24,AA,,,,,,1.0,11479847.0,11.38,12.61,12.7,11.24,144760870.67
2020-07-15,11940244.0,12.85,12.69,12.97,12.125,AA,,,,,,1.0,11940244.0,12.85,12.69,12.97,12.125,151521696.35999998
2020-07-16,16854152.0,12.81,13.49,13.7,12.75,AA,,,,,,1.0,16854152.0,12.81,13.49,13.7,12.75,227362510.48
2020-07-17,9857183.0,13.54,13.06,13.86,12.78,AA,,,,,,1.0,9857183.0,13.54,13.06,13.86,12.78,128734809.98
2020-07-20,4737915.0,12.9,12.72,13.0924,12.71,AA,,,,,,1.0,4737915.0,12.9,12.72,13.0924,12.71,60266278.800000004
2020-07-21,5844339.0,12.83,13.16,13.27,12.81,AA,,,,,,1.0,5844339.0,12.83,13.16,13.27,12.81,76911501.24
2020-07-22,4904438.0,13.05,13.07,13.385,13.0,AA,,,,,,1.0,4904438.0,13.05,13.07,13.385,13.0,64101004.660000004
2020-07-23,5748089.0,13.02,12.71,13.17,12.62,AA,,,,,,1.0,5748089.0,13.02,12.71,13.17,12.62,73058211.19
2020-07-24,4208033.0,12.59,12.75,12.86,12.3,AA,,,,,,1.0,4208033.0,12.59,12.75,12.86,12.3,53652420.75
2020-07-27,4756279.0,12.81,13.24,13.31,12.5331,AA,,,,,,1.0,4756279.0,12.81,13.24,13.31,12.5331,62973133.96
2020-07-28,3584182.0,12.97,12.91,13.12,12.8,AA,,,,,,1.0,3584182.0,12.97,12.91,13.12,12.8,46271789.62
2020-07-29,4799153.0,13.0,13.18,13.36,12.81,AA,,,,,,1.0,4799153.0,13.0,13.18,13.36,12.81,63252836.54
2020-07-30,6695809.0,12.83,13.18,13.25,12.47,AA,,,,,,1.0,6695809.0,12.83,13.18,13.25,12.47,88250762.62
2020-07-31,10329022.0,12.92,13.0,13.13,12.48,AA,,,,,,1.0,10329022.0,12.92,13.0,13.13,12.48,134277286.0
2020-08-03,5936745.0,13.08,13.68,13.78,12.92,AA,,,,,,1.0,5936745.0,13.08,13.68,13.78,12.92,81214671.6
2020-08-04,4931110.0,13.61,13.67,13.85,13.3,AA,,,,,,1.0,4931110.0,13.61,13.67,13.85,13.3,67408273.7
2020-08-05,9553650.0,14.0,14.68,14.8454,14.0,AA,,,,,,1.0,9553650.0,14.0,14.68,14.8454,14.0,140247582.0
2020-08-06,10093467.0,14.73,14.9,15.5,14.3201,AA,,,,,,1.0,10093467.0,14.73,14.9,15.5,14.3201,150392658.3
2020-08-07,6634145.0,14.64,14.67,14.84,14.23,AA,,,,,,1.0,6634145.0,14.64,14.67,14.84,14.23,97322907.15
2020-08-10,8147573.0,14.86,15.57,16.07,14.84,AA,,,,,,1.0,8147573.0,14.86,15.57,16.07,14.84,126857711.61
2020-08-11,7861557.0,16.02,14.89,16.07,14.83,AA,,,,,,1.0,7861557.0,16.02,14.89,16.07,14.83,117058583.73
2020-08-12,4051849.0,15.27,14.96,15.415,14.82,AA,,,,,,1.0,4051849.0,15.27,14.96,15.415,14.82,60615661.04000001
2020-08-13,4192775.0,14.75,14.48,15.12,14.42,AA,,,,,,1.0,4192775.0,14.75,14.48,15.12,14.42,60711382.0
2020-08-14,3020293.0,14.33,14.64,14.78,14.18,AA,,,,,,1.0,3020293.0,14.33,14.64,14.78,14.18,44217089.52
2020-08-17,2558634.0,14.75,14.5,14.9,14.36,AA,,,,,,1.0,2558634.0,14.75,14.5,14.9,14.36,37100193.0
2020-08-18,4604763.0,14.62,14.76,14.9774,14.57,AA,,,,,,1.0,4604763.0,14.62,14.76,14.9774,14.57,67966301.88
2020-08-19,7343316.0,14.8,15.31,15.945,14.77,AA,,,,,,1.0,7343316.0,14.8,15.31,15.945,14.77,112426167.96000001
2020-08-20,3186960.0,15.04,15.19,15.245,14.73,AA,,,,,,1.0,3186960.0,15.04,15.19,15.245,14.73,48409922.4
2020-08-21,4419748.0,14.91,14.6,15.04,14.515,AA,,,,,,1.0,4419748.0,14.91,14.6,15.04,14.515,64528320.8
2020-08-24,3211119.0,14.85,15.12,15.13,14.7,AA,,,,,,1.0,3211119.0,14.85,15.12,15.13,14.7,48552119.28
