date,volume,open,close,high,low,symbol,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2020-09-09,17526,25.1,25.0699,25.119,25.0699,AAA,1,1.0,17526.0,25.1,25.0699,25.119,25.0699,439375.0674
2020-09-10,23632,25.06,25.068,25.07,25.046,AAA,1,1.0,23632.0,25.06,25.068,25.07,25.046,592406.976
2020-09-11,33786,25.04,25.035,25.05,25.02,AAA,1,1.0,33786.0,25.04,25.035,25.05,25.02,845832.51
2020-09-14,13347,25.01,25.02,25.06,25.01,AAA,1,1.0,13347.0,25.01,25.02,25.06,25.01,333941.94
2020-09-15,12395,25.02,25.01,25.03,25.01,AAA,1,1.0,12395.0,25.02,25.01,25.03,25.01,309998.95
2020-09-16,14920,24.97,24.97,24.9839,24.97,AAA,1,1.0,14920.0,24.97,24.97,24.9839,24.97,372552.39999999997
2020-09-17,15275,24.99,24.98,25.0,24.98,AAA,1,1.0,15275.0,24.99,24.98,25.0,24.98,381569.5
2020-09-18,5340,24.9729,24.975,24.98,24.97,AAA,1,1.0,5340.0,24.9729,24.975,24.98,24.97,133366.5
2020-09-21,8756,24.99,24.98,24.99,24.98,AAA,1,1.0,8756.0,24.99,24.98,24.99,24.98,218724.88
2020-09-22,8267,24.98,24.975,24.99,24.975,AAA,1,1.0,8267.0,24.98,24.975,24.99,24.975,206468.325
2020-09-23,4644,24.985,24.99,24.997,24.985,AAA,1,1.0,4644.0,24.985,24.99,24.997,24.985,116053.56
2020-09-24,7080,24.99,24.98,24.9909,24.98,AAA,1,1.0,7080.0,24.99,24.98,24.9909,24.98,176858.4
2020-09-25,115566,24.985,24.98,25.0,24.97,AAA,1,1.0,115566.0,24.985,24.98,25.0,24.97,2886838.68
2020-09-28,6303,24.96,24.955,24.97,24.955,AAA,1,1.0,6303.0,24.96,24.955,24.97,24.955,157291.365
2020-09-29,8023,24.94,24.945,24.95,24.93,AAA,1,1.0,8023.0,24.94,24.945,24.95,24.93,200133.73500000002
2020-09-30,5552,24.96,24.96,24.97,24.96,AAA,1,1.0,5552.0,24.96,24.96,24.97,24.96,138577.92
2020-10-01,24857,24.93,24.92,24.93,24.9175,AAA,1,1.0,24857.0,24.93,24.92,24.93,24.9175,619436.4400000001
2020-10-02,2995,24.9127,24.915,24.925,24.9127,AAA,1,1.0,2995.0,24.9127,24.915,24.925,24.9127,74620.425
2020-10-05,29105,24.91,24.915,24.94,24.91,AAA,1,1.0,29105.0,24.91,24.915,24.94,24.91,725151.075
2020-10-06,4037,24.89,24.9095,24.91,24.89,AAA,1,1.0,4037.0,24.89,24.9095,24.91,24.89,100559.6515
2020-10-07,3875,24.9017,24.9,24.91,24.9,AAA,1,1.0,3875.0,24.9017,24.9,24.91,24.9,96487.5
2020-10-08,1697,24.9,24.9,24.905,24.9,AAA,1,1.0,1697.0,24.9,24.9,24.905,24.9,42255.299999999996
2020-10-09,16339,24.88,24.895,24.91,24.88,AAA,1,1.0,16339.0,24.88,24.895,24.91,24.88,406759.40499999997
2020-10-12,638,24.895,24.895,24.895,24.895,AAA,1,1.0,638.0,24.895,24.895,24.895,24.895,15883.01
2020-10-13,364,24.92,24.91,24.92,24.91,AAA,1,1.0,364.0,24.92,24.91,24.92,24.91,9067.24
2020-10-14,311,24.92,24.91,24.92,24.91,AAA,1,1.0,311.0,24.92,24.91,24.92,24.91,7747.01
2020-10-15,2160,24.91,24.91,24.92,24.9,AAA,1,1.0,2160.0,24.91,24.91,24.92,24.9,53805.6
2020-10-16,609,24.906,24.91,24.91,24.9,AAA,1,1.0,609.0,24.906,24.91,24.91,24.9,15170.19
2020-10-19,6907,24.9,24.905,24.91,24.9,AAA,1,1.0,6907.0,24.9,24.905,24.91,24.9,172018.83500000002
2020-10-20,16917,24.9098,24.91,24.92,24.9,AAA,1,1.0,16917.0,24.9098,24.91,24.92,24.9,421402.47000000003
2020-10-21,2717,24.95,24.95,24.955,24.95,AAA,1,1.0,2717.0,24.95,24.95,24.955,24.95,67789.15
2020-10-22,2063,24.94,24.935,24.94,24.935,AAA,1,1.0,2063.0,24.94,24.935,24.94,24.935,51440.905
2020-10-23,495,24.955,24.955,24.955,24.955,AAA,1,1.0,495.0,24.955,24.955,24.955,24.955,12352.724999999999
