date,volume,open,close,high,low,symbol,ratio_adj,split_factor,volume_adj,open_adj,close_adj,high_adj,low_adj,dollar_volume
2020-07-02,46757,1.3,1.31,1.385,1.3,AACG,1,1.0,46757.0,1.3,1.31,1.385,1.3,61251.670000000006
2020-07-06,49211,1.3,1.36,1.4,1.3,AACG,1,1.0,49211.0,1.3,1.36,1.4,1.3,66926.96
2020-07-07,48089,1.36,1.37,1.419,1.35,AACG,1,1.0,48089.0,1.36,1.37,1.419,1.35,65881.93000000001
2020-07-08,57239,1.37,1.48,1.49,1.3501,AACG,1,1.0,57239.0,1.37,1.48,1.49,1.3501,84713.72
2020-07-09,67206,1.5,1.49,1.5,1.45,AACG,1,1.0,67206.0,1.5,1.49,1.5,1.45,100136.94
2020-07-10,179762,1.49,1.44,1.6,1.43,AACG,1,1.0,179762.0,1.49,1.44,1.6,1.43,258857.28
2020-07-13,84517,1.48,1.46,1.54,1.39,AACG,1,1.0,84517.0,1.48,1.46,1.54,1.39,123394.81999999999
2020-07-14,85469,1.54,1.58,1.5899,1.48,AACG,1,1.0,85469.0,1.54,1.58,1.5899,1.48,135041.02000000002
2020-07-15,25142,1.59,1.5201,1.59,1.5201,AACG,1,1.0,25142.0,1.59,1.5201,1.59,1.5201,38218.3542
2020-07-16,848458,1.52,1.7,1.87,1.52,AACG,1,1.0,848458.0,1.52,1.7,1.87,1.52,1442378.5999999999
2020-07-17,70188,1.76,1.71,1.76,1.5902,AACG,1,1.0,70188.0,1.76,1.71,1.76,1.5902,120021.48
2020-07-20,111848,1.7,1.38,1.7,1.3102,AACG,1,1.0,111848.0,1.7,1.38,1.7,1.3102,154350.24
2020-07-21,43898,1.34,1.31,1.36,1.31,AACG,1,1.0,43898.0,1.34,1.31,1.36,1.31,57506.380000000005
2020-07-22,38139,1.29,1.29,1.35,1.17,AACG,1,1.0,38139.0,1.29,1.29,1.35,1.17,49199.310000000005
2020-07-23,19043,1.2,1.25,1.39,1.2,AACG,1,1.0,19043.0,1.2,1.25,1.39,1.2,23803.75
2020-07-24,28300,1.238,1.1639,1.238,1.08,AACG,1,1.0,28300.0,1.238,1.1639,1.238,1.08,32938.369999999995
2020-07-27,13834,1.17,1.14,1.2559,1.13,AACG,1,1.0,13834.0,1.17,1.14,1.2559,1.13,15770.759999999998
2020-07-28,8653,1.11,1.12,1.1799,1.1004,AACG,1,1.0,8653.0,1.11,1.12,1.1799,1.1004,9691.36
2020-07-29,69784,1.14,1.065,1.14,1.04,AACG,1,1.0,69784.0,1.14,1.065,1.14,1.04,74319.95999999999
2020-07-30,46252,1.02,1.05,1.11,1.01,AACG,1,1.0,46252.0,1.02,1.05,1.11,1.01,48564.6
2020-07-31,26829,1.06,1.06,1.0899,1.01,AACG,1,1.0,26829.0,1.06,1.06,1.0899,1.01,28438.74
2020-08-03,387600,1.12,1.365,1.4,1.02,AACG,1,1.0,387600.0,1.12,1.365,1.4,1.02,529074.0
2020-08-04,82279,1.39,1.275,1.39,1.2054,AACG,1,1.0,82279.0,1.39,1.275,1.39,1.2054,104905.72499999999
2020-08-05,36347,1.24,1.3,1.33,1.2301,AACG,1,1.0,36347.0,1.24,1.3,1.33,1.2301,47251.1
2020-08-06,34534,1.26,1.2652,1.31,1.24,AACG,1,1.0,34534.0,1.26,1.2652,1.31,1.24,43692.416800000006
2020-08-07,17855,1.27,1.2612,1.28,1.2,AACG,1,1.0,17855.0,1.27,1.2612,1.28,1.2,22518.726000000002
2020-08-10,18360,1.25,1.21,1.27,1.21,AACG,1,1.0,18360.0,1.25,1.21,1.27,1.21,22215.6
2020-08-11,34183,1.16,1.15,1.2799,1.15,AACG,1,1.0,34183.0,1.16,1.15,1.2799,1.15,39310.45
2020-08-12,50561,1.24,1.1,1.24,1.05,AACG,1,1.0,50561.0,1.24,1.1,1.24,1.05,55617.100000000006
2020-08-13,33512,1.07,1.1,1.22,1.07,AACG,1,1.0,33512.0,1.07,1.1,1.22,1.07,36863.200000000004
2020-08-14,54637,1.19,1.0999,1.19,1.05,AACG,1,1.0,54637.0,1.19,1.0999,1.19,1.05,60095.236300000004
2020-08-17,18501,1.09,1.14,1.16,1.0851,AACG,1,1.0,18501.0,1.09,1.14,1.16,1.0851,21091.14
2020-08-18,176231,1.16,1.1899,1.27,1.1193,AACG,1,1.0,176231.0,1.16,1.1899,1.27,1.1193,209697.2669
2020-08-19,50989,1.2,1.1,1.21,1.1,AACG,1,1.0,50989.0,1.2,1.1,1.21,1.1,56087.9
2020-08-20,17291,1.06,1.1355,1.1355,1.06,AACG,1,1.0,17291.0,1.06,1.1355,1.1355,1.06,19633.9305
2020-08-21,22318,1.2,1.125,1.2,1.0901,AACG,1,1.0,22318.0,1.2,1.125,1.2,1.0901,25107.75
