,ticker,queryCount,resultsCount,adjusted,results,status,request_id,count
0,X:BTCUSD,120,120,True,"{'v': 13.734084849999983, 'vw': 31790.5491, 'o': 31784.18, 'c': 31803.8, 'h': 31817, 'l': 31777.51, 't': 1654041600000, 'n': 403}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
1,X:BTCUSD,120,120,True,"{'v': 17.091219470000002, 'vw': 31814.8618, 'o': 31804.87, 'c': 31816.46, 'h': 31839, 'l': 31799.3, 't': 1654041660000, 'n': 386}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
2,X:BTCUSD,120,120,True,"{'v': 18.488728679999987, 'vw': 31824.8869, 'o': 31816.38, 'c': 31832.61, 'h': 31850, 'l': 31798.85, 't': 1654041720000, 'n': 508}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
3,X:BTCUSD,120,120,True,"{'v': 6.5431570500000005, 'vw': 31827.0159, 'o': 31828.6, 'c': 31843.32428673, 'h': 31853, 'l': 31815.16, 't': 1654041780000, 'n': 299}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
4,X:BTCUSD,120,120,True,"{'v': 3.4194324299999983, 'vw': 31825.3842, 'o': 31816.9, 'c': 31816.68, 'h': 31844, 'l': 31815.57, 't': 1654041840000, 'n': 242}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
5,X:BTCUSD,120,120,True,"{'v': 13.62033245999999, 'vw': 31844.7258, 'o': 31816.69, 'c': 31842.76, 'h': 31863, 'l': 31815.25, 't': 1654041900000, 'n': 264}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
6,X:BTCUSD,120,120,True,"{'v': 6.792543250000001, 'vw': 31836.9145, 'o': 31842.77, 'c': 31838.2, 'h': 31854, 'l': 31825.87, 't': 1654041960000, 'n': 384}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
7,X:BTCUSD,120,120,True,"{'v': 8.500544879999987, 'vw': 31844.4444, 'o': 31841.05, 'c': 31855.73, 'h': 31865, 'l': 31833.01, 't': 1654042020000, 'n': 318}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
8,X:BTCUSD,120,120,True,"{'v': 13.506816179999996, 'vw': 31856.3995, 'o': 31855.73, 'c': 31837.3, 'h': 31878, 'l': 31834.6, 't': 1654042080000, 'n': 350}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
9,X:BTCUSD,120,120,True,"{'v': 7.840135120000005, 'vw': 31828.8556, 'o': 31837.29, 'c': 31839, 'h': 31857, 'l': 31811.09, 't': 1654042140000, 'n': 272}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
10,X:BTCUSD,120,120,True,"{'v': 7.2740445200000075, 'vw': 31802.7132, 'o': 31810.21, 'c': 31787.54, 'h': 31840.5, 'l': 31785.16, 't': 1654042200000, 'n': 292}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
11,X:BTCUSD,120,120,True,"{'v': 28.633934220000036, 'vw': 31739.9056, 'o': 31789.09, 'c': 31716.99, 'h': 31811, 'l': 31710.96, 't': 1654042260000, 'n': 867}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
12,X:BTCUSD,120,120,True,"{'v': 20.933528430000017, 'vw': 31709.2395, 'o': 31740, 'c': 31724.91, 'h': 31759, 'l': 31695, 't': 1654042320000, 'n': 525}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
13,X:BTCUSD,120,120,True,"{'v': 10.075186130000004, 'vw': 31704.5404, 'o': 31727.32, 'c': 31723.16, 'h': 31737, 'l': 31688.77, 't': 1654042380000, 'n': 394}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
14,X:BTCUSD,120,120,True,"{'v': 8.28833345, 'vw': 31727.6664, 'o': 31723.16, 'c': 31738.92, 'h': 31753.4, 'l': 31714.84, 't': 1654042440000, 'n': 290}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
15,X:BTCUSD,120,120,True,"{'v': 10.969295839999988, 'vw': 31766.1017, 'o': 31737.63, 'c': 31776, 'h': 31777, 'l': 31737.63, 't': 1654042500000, 'n': 353}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
16,X:BTCUSD,120,120,True,"{'v': 27.727532740000033, 'vw': 31804.7921, 'o': 31753.51, 'c': 31833.46, 'h': 31850, 'l': 31753.51, 't': 1654042560000, 'n': 668}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
17,X:BTCUSD,120,120,True,"{'v': 12.70740662, 'vw': 31843.1645, 'o': 31833.45, 'c': 31850.1, 'h': 31866, 'l': 31825.96, 't': 1654042620000, 'n': 504}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
18,X:BTCUSD,120,120,True,"{'v': 18.220230760000003, 'vw': 31825.4058, 'o': 31844.15, 'c': 31835.62, 'h': 31853, 'l': 31810.1, 't': 1654042680000, 'n': 403}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
19,X:BTCUSD,120,120,True,"{'v': 9.281754569999999, 'vw': 31836.8965, 'o': 31835.61, 'c': 31821.16, 'h': 31862, 'l': 31819, 't': 1654042740000, 'n': 395}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
20,X:BTCUSD,120,120,True,"{'v': 6.617533600000007, 'vw': 31807.569, 'o': 31820.41, 'c': 31768.01, 'h': 31837, 'l': 31768, 't': 1654042800000, 'n': 319}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
21,X:BTCUSD,120,120,True,"{'v': 13.37648183999996, 'vw': 31759.7264, 'o': 31768, 'c': 31710.86, 'h': 31797, 'l': 31710.07, 't': 1654042860000, 'n': 543}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
22,X:BTCUSD,120,120,True,"{'v': 7.276023820000011, 'vw': 31705.4177, 'o': 31729.79270414, 'c': 31715, 'h': 31730.2, 'l': 31689.68, 't': 1654042920000, 'n': 372}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
23,X:BTCUSD,120,120,True,"{'v': 17.61835398000002, 'vw': 31683.9244, 'o': 31701.5, 'c': 31680.11, 'h': 31717.88, 'l': 31660.08, 't': 1654042980000, 'n': 604}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
24,X:BTCUSD,120,120,True,"{'v': 23.577202320000033, 'vw': 31704.2047, 'o': 31682.24, 'c': 31727.41, 'h': 31752, 'l': 31671.32, 't': 1654043040000, 'n': 466}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
25,X:BTCUSD,120,120,True,"{'v': 20.777129850000037, 'vw': 31717.406, 'o': 31730, 'c': 31730, 'h': 31752, 'l': 31706.42, 't': 1654043100000, 'n': 445}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
26,X:BTCUSD,120,120,True,"{'v': 10.24508362999999, 'vw': 31742.3572, 'o': 31730, 'c': 31733.05, 'h': 31771.01775846, 'l': 31729.38, 't': 1654043160000, 'n': 318}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
27,X:BTCUSD,120,120,True,"{'v': 24.29797979000001, 'vw': 31776.8679, 'o': 31732.72, 'c': 31808.71, 'h': 31822, 'l': 31732.72, 't': 1654043220000, 'n': 472}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
28,X:BTCUSD,120,120,True,"{'v': 21.621020350000027, 'vw': 31820.1651, 'o': 31808.53, 'c': 31824.05, 'h': 31842.91002736, 'l': 31789.8, 't': 1654043280000, 'n': 592}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
29,X:BTCUSD,120,120,True,"{'v': 14.149605139999974, 'vw': 31802.7896, 'o': 31826.05, 'c': 31800, 'h': 31839, 'l': 31786.5, 't': 1654043340000, 'n': 490}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
30,X:BTCUSD,120,120,True,"{'v': 20.22603356999997, 'vw': 31784.1097, 'o': 31799.99, 'c': 31780.41, 'h': 31820, 'l': 31765.23, 't': 1654043400000, 'n': 546}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
31,X:BTCUSD,120,120,True,"{'v': 17.079566160000013, 'vw': 31819.3866, 'o': 31778.03, 'c': 31847.76, 'h': 31866.1, 'l': 31772.44, 't': 1654043460000, 'n': 516}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
32,X:BTCUSD,120,120,True,"{'v': 13.682003639999984, 'vw': 31846.3152, 'o': 31844.9, 'c': 31856.25, 'h': 31872.67575369, 'l': 31822.79, 't': 1654043520000, 'n': 503}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
33,X:BTCUSD,120,120,True,"{'v': 8.748002899999994, 'vw': 31849.9063, 'o': 31856, 'c': 31848.38, 'h': 31876, 'l': 31840, 't': 1654043580000, 'n': 413}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
34,X:BTCUSD,120,120,True,"{'v': 3.634860079999996, 'vw': 31859.8444, 'o': 31848.38, 'c': 31864.39, 'h': 31885, 'l': 31848.38, 't': 1654043640000, 'n': 244}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
35,X:BTCUSD,120,120,True,"{'v': 13.196126769999974, 'vw': 31887.365, 'o': 31866.6, 'c': 31912.87, 'h': 31936, 'l': 31862.26, 't': 1654043700000, 'n': 480}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
36,X:BTCUSD,120,120,True,"{'v': 12.296035839999979, 'vw': 31911.3574, 'o': 31912.86, 'c': 31894.28, 'h': 31937, 'l': 31890.01, 't': 1654043760000, 'n': 344}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
37,X:BTCUSD,120,120,True,"{'v': 9.583672040000007, 'vw': 31883.9765, 'o': 31898.1, 'c': 31867.06, 'h': 31912, 'l': 31860.8, 't': 1654043820000, 'n': 336}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
38,X:BTCUSD,120,120,True,"{'v': 14.421621729999979, 'vw': 31879.4658, 'o': 31866.2, 'c': 31890.1, 'h': 31907.83665851, 'l': 31860.17, 't': 1654043880000, 'n': 365}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
39,X:BTCUSD,120,120,True,"{'v': 8.941268960000002, 'vw': 31902.6113, 'o': 31888.36, 'c': 31908.74, 'h': 31925, 'l': 31888.36, 't': 1654043940000, 'n': 463}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
40,X:BTCUSD,120,120,True,"{'v': 23.688550059999983, 'vw': 31945.8959, 'o': 31908.72, 'c': 31961.91, 'h': 31974.1614267, 'l': 31908.7, 't': 1654044000000, 'n': 687}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
41,X:BTCUSD,120,120,True,"{'v': 12.206394129999977, 'vw': 31938.4247, 'o': 31961.75, 'c': 31930.05, 'h': 31961.75, 'l': 31924.1, 't': 1654044060000, 'n': 521}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
42,X:BTCUSD,120,120,True,"{'v': 21.075820499999974, 'vw': 31938.5466, 'o': 31930.06, 'c': 31920.68, 'h': 31959.90924161, 'l': 31920.68, 't': 1654044120000, 'n': 505}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
43,X:BTCUSD,120,120,True,"{'v': 12.977854609999982, 'vw': 31936.4878, 'o': 31920.69, 'c': 31929.93, 'h': 31955, 'l': 31917.51, 't': 1654044180000, 'n': 365}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
44,X:BTCUSD,120,120,True,"{'v': 7.83810784000001, 'vw': 31931.3511, 'o': 31937, 'c': 31928.1, 'h': 31949, 'l': 31920.35, 't': 1654044240000, 'n': 325}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
45,X:BTCUSD,120,120,True,"{'v': 12.108588839999996, 'vw': 31929.0374, 'o': 31924.82, 'c': 31941.54, 'h': 31955.04, 'l': 31907.3, 't': 1654044300000, 'n': 442}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
46,X:BTCUSD,120,120,True,"{'v': 4.166217149999996, 'vw': 31931.5727, 'o': 31945.04, 'c': 31927.62, 'h': 31950, 'l': 31920.01, 't': 1654044360000, 'n': 318}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
47,X:BTCUSD,120,120,True,"{'v': 10.688926419999998, 'vw': 31927.0832, 'o': 31927.45, 'c': 31924.53, 'h': 31950, 'l': 31916.82, 't': 1654044420000, 'n': 421}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
48,X:BTCUSD,120,120,True,"{'v': 31.57911765000004, 'vw': 31917.0111, 'o': 31923.64, 'c': 31897, 'h': 31940, 'l': 31881.4, 't': 1654044480000, 'n': 486}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
49,X:BTCUSD,120,120,True,"{'v': 8.019179099999999, 'vw': 31885.2278, 'o': 31899.11, 'c': 31879.9, 'h': 31916, 'l': 31870.54, 't': 1654044540000, 'n': 365}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
50,X:BTCUSD,120,120,True,"{'v': 6.92915534, 'vw': 31884.0938, 'o': 31875.42, 'c': 31882.15, 'h': 31911, 'l': 31868.89, 't': 1654044600000, 'n': 358}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
51,X:BTCUSD,120,120,True,"{'v': 4.796539150000003, 'vw': 31883.8007, 'o': 31883.16, 'c': 31881.95, 'h': 31904, 'l': 31872.46, 't': 1654044660000, 'n': 311}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
52,X:BTCUSD,120,120,True,"{'v': 13.364899559999968, 'vw': 31876.2307, 'o': 31881.96, 'c': 31874.13, 'h': 31895, 'l': 31868.1, 't': 1654044720000, 'n': 371}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
53,X:BTCUSD,120,120,True,"{'v': 8.821859270000003, 'vw': 31884.0263, 'o': 31872.75, 'c': 31896.21, 'h': 31914, 'l': 31872.75, 't': 1654044780000, 'n': 293}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
54,X:BTCUSD,120,120,True,"{'v': 10.901216349999993, 'vw': 31897.9687, 'o': 31897.74, 'c': 31888.75, 'h': 31926.39449958, 'l': 31876.14, 't': 1654044840000, 'n': 349}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
55,X:BTCUSD,120,120,True,"{'v': 21.224856750000004, 'vw': 31933.9196, 'o': 31888.24, 'c': 31952.7, 'h': 31964, 'l': 31887.3, 't': 1654044900000, 'n': 498}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
56,X:BTCUSD,120,120,True,"{'v': 8.354507479999995, 'vw': 31950.1004, 'o': 31952.36, 'c': 31942.8, 'h': 31964, 'l': 31929, 't': 1654044960000, 'n': 366}",OK,f21f3e2cb68fcc4a5e6136f0ae862398,120
