ticker,name,market,locale,type,currency,active,primaryExch,updated,codes,url
A,Agilent Technologies Inc.,STOCKS,US,CS,USD,True,NYE,2020-10-26,"{'cik': '0001090872', 'figiuid': 'EQ0087231700001000', 'scfigi': 'BBG001SCTQY4', 'cfigi': 'BBG000C2V3D6', 'figi': 'BBG000C2V3D6'}",https://api.polygon.io/v2/tickers/A
AA,Alcoa Corporation,STOCKS,US,CS,USD,True,NYE,2020-10-26,"{'cik': '0001675149', 'figiuid': 'EQ0000000045469815', 'scfigi': 'BBG00B3T3HF1', 'cfigi': 'BBG00B3T3HD3', 'figi': 'BBG00B3T3HD3'}",https://api.polygon.io/v2/tickers/AA
AAA,AAF First Priority CLO Bond ETF,STOCKS,US,,USD,True,ARCA,2020-09-10,,https://api.polygon.io/v2/tickers/AAA
AAAU,Perth Mint Physical Gold ETF (Trust),STOCKS,US,,USD,True,ARCA,2020-06-23,"{'cik': '0001708646', 'figiuid': 'EQ0000000067365924', 'scfigi': 'BBG00LPXX8Z1', 'cfigi': 'BBG00LPXX872', 'figi': 'BBG00LPXX8D5'}",https://api.polygon.io/v2/tickers/AAAU
AACG,ATA Creativity Global American Depositary Shares,STOCKS,US,,USD,True,NASDAQ,2020-06-23,"{'figiuid': 'EQ0000000005347946', 'scfigi': 'BBG001T125S9', 'cfigi': 'BBG000V2S3P6', 'figi': 'BBG000V2S9C7'}",https://api.polygon.io/v2/tickers/AACG
AACQ,Artius Acquisition Inc. Class A Common Stock,STOCKS,US,,USD,True,NASDAQ,2020-09-05,,https://api.polygon.io/v2/tickers/AACQ
AACQU,Artius Acquisition Inc. Unit,STOCKS,US,,USD,True,NASDAQ,2020-07-15,,https://api.polygon.io/v2/tickers/AACQU
AACQW,Artius Acquisition Inc Warrant,STOCKS,US,,USD,True,NASDAQ,2020-09-05,,https://api.polygon.io/v2/tickers/AACQW
AADR,AdvisorShares Dorsey Wright ADR ETF,STOCKS,US,,USD,True,ARCA,2020-06-23,"{'figiuid': 'EQ0000000010636243', 'scfigi': 'BBG001T9B1Y4', 'cfigi': 'BBG000BDYRW6', 'figi': 'BBG000BDYVZ4'}",https://api.polygon.io/v2/tickers/AADR
AAL,American Airlines Group Inc. Common Stock,STOCKS,US,,USD,True,NASDAQ,2020-06-23,"{'cik': '0000006201', 'figiuid': 'EQ0000000033024206', 'scfigi': 'BBG005P7Q907', 'cfigi': 'BBG005P7Q881', 'figi': 'BBG005P7Q8V5'}",https://api.polygon.io/v2/tickers/AAL
AAMC,Altisource Asset Mgmt Corp,STOCKS,US,,USD,True,AMX,2020-06-23,"{'cik': '0001555074', 'figiuid': 'EQ0000000027544942', 'scfigi': 'BBG003PNL145', 'cfigi': 'BBG003PNL136', 'figi': 'BBG003Q1GJL0'}",https://api.polygon.io/v2/tickers/AAMC
AAME,Atlantic American Corporation Common Stock,STOCKS,US,,USD,True,NASDAQ,2020-06-23,"{'cik': '0000008177', 'figiuid': 'EQ0010179600001000', 'scfigi': 'BBG001S5N8T1', 'cfigi': 'BBG000B9XB24', 'figi': 'BBG000B9XMQ4'}",https://api.polygon.io/v2/tickers/AAME
